name,url
Avanti West Coast,https://www.avantiwestcoast.co.uk
c2c,http://www.c2c-online.co.uk
Caledonian Sleeper,https://www.sleeper.scot/
Chiltern Railways,http://www.chilternrailways.co.uk
CrossCountry,http://www.crosscountrytrains.co.uk
East Midlands Railway,http://www.eastmidlandsrailway.co.uk
Elizabeth line,https://tfl.gov.uk/modes/Elizabeth-line/
Gatwick Express,http://www.gatwickexpress.com
Grand Central,http://www.grandcentralrail.com
Great Northern,http://www.greatnorthernrail.com
GWR,http://www.gwr.com
Greater Anglia,https://www.greateranglia.co.uk/
Heathrow Express,http://www.heathrowexpress.com
Hull Trains,https://www.hulltrains.co.uk
LNER,https://www.lner.co.uk/
London Northwestern Railway,http://www.londonnorthwesternrailway.co.uk/
London Overground,http://www.tfl.gov.uk/overground
Lumo,https://www.lumo.co.uk/
Merseyrail,https://www.merseyrail.org/
Northern,https://www.northernrailway.co.uk/
ScotRail,http://www.scotrail.co.uk
South Western Railway,https://www.southwesternrailway.com/
Southeastern,http://www.southeasternrailway.co.uk
Southern,http://www.southernrailway.com
Stansted Express,https://www.stanstedexpress.com
Thameslink,https://www.thameslinkrailway.com
Transpennine Express,http://www.tpexpress.co.uk
Transport for Wales,https://tfw.wales/
West Midlands Railway,http://www.westmidlandsrailway.co.uk